order_id,order_date,region,category,product,channel,quantity,unit_price,amount
66,2025-12-28,West,Grocery,Pasta,store,10,3.51,35.1
67,2025-04-16,Midwest,Electronics,Phone Case,store,6,23.94,143.64
68,2025-06-02,Midwest,Home,Lamp,online,8,34.21,273.68
69,2025-01-15,Midwest,Home,Lamp,online,1,36.68,36.68
70,2025-07-21,West,Electronics,Phone Case,store,8,23.13,185.04
71,2025-04-04,West,Grocery,Pasta,online,6,3.48,20.88
72,2025-07-14,Midwest,Apparel,T-Shirt,store,1,17.13,17.13
73,2025-06-29,West,Electronics,Laptop,online,1,871.97,871.97
74,2025-11-15,West,Home,Lamp,online,10,35.22,352.2
75,2025-12-25,West,Apparel,T-Shirt,online,8,18.5,148.0
76,2025-02-25,South,Grocery,Pasta,online,4,3.35,13.4
77,2025-02-22,South,Electronics,Phone Case,online,7,23.63,165.41
78,2025-12-05,West,Apparel,T-Shirt,store,8,18.58,148.64
79,2025-07-05,Midwest,Home,Lamp,online,5,35.82,179.1
80,2025-11-12,Northeast,Grocery,Pasta,store,5,3.61,18.05
81,2025-06-15,West,Apparel,Jeans,online,7,49.2,344.4
82,2025-06-22,West,Apparel,T-Shirt,store,5,17.48,87.4
83,2025-06-24,Northeast,Apparel,Jacket,online,4,89.15,356.6
84,2025-02-13,Midwest,Grocery,Olive Oil,online,8,12.23,97.84
85,2025-08-18,West,Apparel,T-Shirt,store,5,18.35,91.75
86,2025-12-06,Midwest,Apparel,Jeans,store,8,47.29,378.32
87,2025-05-19,East,Electronics,Phone Case,online,3,23.56,70.68
88,2025-04-09,Midwest,Apparel,Jacket,store,4,93.28,373.12
89,2025-06-01,East,Apparel,T-Shirt,online,1,17.59,17.59
90,2025-10-11,West,Home,Towel Set,store,8,26.89,215.12
91,2025-05-26,Midwest,Apparel,T-Shirt,online,8,17.55,140.4
92,2025-02-28,Midwest,Grocery,Coffee Beans,online,5,13.51,67.55
93,2025-02-13,West,Grocery,Olive Oil,online,7,12.33,86.31
94,2025-08-19,South,Grocery,Pasta,online,2,3.54,7.08
95,2025-04-17,South,Electronics,Laptop,online,2,869.68,1739.36
96,2025-03-22,West,Grocery,Olive Oil,store,4,11.75,47.0
97,2025-05-28,Midwest,Electronics,Phone Case,online,4,25.02,100.08
98,2025-08-06,West,Home,Towel Set,online,3,29.14,87.42
99,2025-02-06,West,Apparel,Jacket,store,8,88.46,707.68
100,2025-12-19,West,Grocery,Pasta,store,7,3.48,24.36
101,2025-06-15,West,Electronics,Laptop,online,5,943.91,4719.55
102,2025-10-23,West,Home,Lamp,store,10,36.46,364.6
103,2025-08-12,Midwest,Electronics,Headphones,store,0,78.28,0.0
104,2025-02-23,South,Grocery,Olive Oil,store,7,11.75,82.25
105,2025-10-09,West,Electronics,Headphones,store,11,77.6,853.6
106,2025-01-01,Northeast,Grocery,Pasta,online,6,3.39,20.34
107,2025-11-15,Midwest,Electronics,Laptop,store,5,903.42,4517.1
108,2025-08-13,Midwest,Electronics,Laptop,online,5,917.86,4589.3
109,2025-10-10,West,Grocery,Coffee Beans,online,8,14.69,117.52
110,2025-03-02,East,Grocery,Olive Oil,store,5,12.01,60.05
111,2025-08-01,Midwest,Home,Lamp,online,3,34.59,103.77
112,2025-02-05,Midwest,Apparel,Jacket,store,5,91.85,459.25
113,2025-06-02,Northeast,Grocery,Coffee Beans,store,6,14.05,84.3
114,2025-06-20,Northeast,Grocery,Pasta,store,4,3.63,14.52
115,2025-10-20,West,Grocery,Coffee Beans,store,13,14.34,186.42
116,2025-12-06,East,Grocery,Coffee Beans,online,6,14.0,84.0
117,2025-02-21,Midwest,Electronics,Phone Case,store,3,22.84,68.52
118,2025-07-29,East,Electronics,Headphones,store,1,77.72,77.72
119,2025-06-18,Northeast,Grocery,Pasta,store,1,3.63,3.63
120,2025-11-13,West,Apparel,T-Shirt,online,10,17.88,178.8
121,2025-12-27,Midwest,Home,Towel Set,store,1,29.13,29.13
122,2025-06-16,South,Apparel,Jeans,store,7,46.3,324.1
123,2025-10-17,East,Home,Blender,online,7,59.65,417.55
124,2025-11-14,Midwest,Home,Blender,store,8,59.81,478.48
125,2025-05-11,Midwest,Apparel,Jacket,online,6,85.21,511.26
126,2025-10-28,West,Grocery,Olive Oil,store,9,11.95,107.55
127,2025-07-16,West,Home,Lamp,store,5,35.26,176.3
128,2025-01-12,Midwest,Apparel,T-Shirt,online,8,18.74,149.92
129,2025-05-27,East,Apparel,T-Shirt,online,3,18.22,54.66
130,2025-11-18,West,Electronics,Headphones,store,4,75.31,301.24
131,2025-02-16,South,Grocery,Coffee Beans,online,6,13.49,80.94
132,2025-09-29,South,Home,Lamp,store,5,36.64,183.2
133,2025-06-23,Midwest,Electronics,Laptop,online,7,931.38,6519.66
134,2025-10-13,West,Grocery,Coffee Beans,store,13,14.05,182.65
135,2025-12-11,South,Grocery,Olive Oil,store,4,11.53,46.12
136,2025-08-30,West,Apparel,Jacket,online,8,90.31,722.48
137,2025-12-25,West,Grocery,Coffee Beans,online,6,13.36,80.16
138,2025-09-10,West,Home,Towel Set,online,6,27.69,166.14
139,2025-12-10,Northeast,Grocery,Olive Oil,online,2,12.46,24.92
140,2025-09-08,South,Electronics,Phone Case,store,8,23.32,186.56
141,2025-05-01,West,Apparel,Jacket,store,5,85.09,425.45
142,2025-04-08,Midwest,Electronics,Phone Case,online,1,24.34,24.34
143,2025-01-26,East,Home,Towel Set,online,4,26.79,107.16
144,2025-10-28,West,Home,Lamp,online,6,36.01,216.06
145,2025-03-16,Northeast,Apparel,T-Shirt,online,1,18.29,18.29
146,2025-03-09,West,Home,Towel Set,store,5,26.64,133.2
147,2025-01-27,West,Grocery,Olive Oil,online,8,12.29,98.32
148,2025-08-18,Northeast,Electronics,Headphones,online,0,82.52,0.0
149,2025-12-04,Midwest,Electronics,Laptop,store,7,930.22,6511.54
150,2025-12-18,West,Grocery,Coffee Beans,online,6,13.75,82.5
151,2025-03-06,Northeast,Apparel,Jeans,store,7,47.78,334.46
152,2025-02-20,West,Home,Lamp,store,7,36.36,254.52
153,2025-06-23,Midwest,Grocery,Olive Oil,online,6,11.78,70.68
154,2025-12-07,West,Home,Towel Set,store,5,26.79,133.95
155,2025-08-10,West,Apparel,T-Shirt,online,6,18.16,108.96
156,2025-12-10,West,Apparel,Jacket,store,6,92.28,553.68
157,2025-11-04,West,Electronics,Phone Case,online,12,23.17,278.04
158,2025-02-25,Northeast,Apparel,T-Shirt,store,7,18.13,126.91
159,2025-10-15,Northeast,Electronics,Phone Case,store,5,22.87,114.35
160,2025-12-26,South,Apparel,T-Shirt,online,7,18.67,130.69
161,2025-02-05,West,Electronics,Laptop,online,8,887.87,7102.96
162,2025-06-24,West,Apparel,Jacket,store,2,91.46,182.92
163,2025-01-27,West,Electronics,Phone Case,online,7,23.45,164.15
164,2025-09-06,Midwest,Apparel,T-Shirt,online,2,17.72,35.44
165,2025-05-26,Northeast,Grocery,Olive Oil,store,7,11.45,80.15
166,2025-11-03,West,Home,Lamp,online,10,35.94,359.4
167,2025-06-17,West,Grocery,Olive Oil,store,7,11.61,81.27
168,2025-09-30,Northeast,Apparel,T-Shirt,store,1,18.65,18.65
169,2025-08-12,West,Electronics,Headphones,store,4,79.58,318.32
170,2025-05-29,West,Electronics,Headphones,online,3,81.38,244.14
171,2025-02-15,West,Home,Lamp,store,7,35.08,245.56
172,2025-06-08,East,Apparel,T-Shirt,online,2,18.02,36.04
173,2025-09-29,South,Apparel,Jacket,online,3,86.65,259.95
174,2025-05-12,Northeast,Home,Towel Set,online,8,27.1,216.8
175,2025-08-26,Northeast,Grocery,Olive Oil,store,6,12.44,74.64
176,2025-03-19,Midwest,Grocery,Olive Oil,store,1,12.36,12.36
177,2025-06-30,South,Grocery,Pasta,online,5,3.34,16.7
178,2025-02-09,West,Grocery,Pasta,online,4,3.48,13.92
179,2025-06-14,Northeast,Home,Blender,store,6,56.66,339.96
180,2025-02-13,East,Electronics,Laptop,store,3,943.14,2829.42
181,2025-07-06,South,Grocery,Pasta,store,1,3.56,3.56
182,2025-11-20,West,Apparel,T-Shirt,store,8,17.61,140.88
183,2025-02-11,East,Apparel,Jeans,store,2,46.22,92.44
184,2025-06-08,South,Home,Towel Set,online,7,28.41,198.87
185,2025-09-18,South,Apparel,T-Shirt,online,8,17.72,141.76
186,2025-04-09,East,Home,Blender,store,2,61.03,122.06
187,2025-09-17,Northeast,Electronics,Phone Case,store,3,24.9,74.7
188,2025-11-02,West,Home,Blender,online,7,60.3,422.1
189,2025-07-06,East,Grocery,Olive Oil,store,8,12.3,98.4
190,2025-04-30,South,Grocery,Coffee Beans,store,8,14.25,114.0
191,2025-08-25,Midwest,Grocery,Coffee Beans,online,3,14.42,43.26
192,2025-05-09,West,Grocery,Pasta,online,2,3.57,7.14
193,2025-05-26,West,Home,Lamp,store,3,36.42,109.26
194,2025-08-12,West,Home,Lamp,store,7,36.51,255.57
195,2025-01-28,South,Home,Lamp,online,1,34.56,34.56
196,2025-06-13,South,Home,Blender,online,8,57.74,461.92
197,2025-12-23,Midwest,Grocery,Olive Oil,online,1,12.49,12.49
198,2025-05-12,East,Grocery,Coffee Beans,store,2,13.63,27.26
199,2025-01-25,Northeast,Grocery,Coffee Beans,online,8,14.47,115.76
200,2025-11-02,Northeast,Home,Towel Set,online,1,27.42,27.42
201,2025-11-11,West,Grocery,Coffee Beans,online,9,14.03,126.27
202,2025-09-27,Northeast,Electronics,Headphones,store,0,75.39,0.0
203,2025-07-11,West,Apparel,T-Shirt,store,2,17.53,35.06
204,2025-10-25,South,Home,Blender,store,3,59.27,177.81
205,2025-12-17,Midwest,Home,Blender,online,8,60.27,482.16
206,2025-01-19,West,Home,Blender,store,7,61.56,430.92
207,2025-10-06,West,Home,Lamp,store,9,36.27,326.43
208,2025-06-19,South,Grocery,Pasta,store,7,3.64,25.48
209,2025-06-23,Midwest,Grocery,Pasta,store,7,3.61,25.27
210,2025-02-10,East,Apparel,Jeans,online,5,45.98,229.9
211,2025-06-06,Midwest,Home,Towel Set,store,1,27.58,27.58
212,2025-06-30,Midwest,Apparel,Jacket,online,7,85.22,596.54
213,2025-07-06,East,Electronics,Laptop,store,2,857.18,1714.36
214,2025-05-01,South,Apparel,Jeans,online,8,48.5,388.0
215,2025-07-09,West,Home,Towel Set,store,5,27.71,138.55
216,2025-05-08,West,Home,Lamp,store,2,36.45,72.9
217,2025-05-15,Midwest,Home,Towel Set,store,8,28.54,228.32
218,2025-04-13,West,Electronics,Headphones,online,0,82.15,0.0
219,2025-02-14,South,Apparel,Jacket,online,5,89.44,447.2
220,2025-06-03,East,Apparel,Jacket,online,4,85.63,342.52
221,2025-03-13,Midwest,Electronics,Headphones,store,2,78.74,157.48
222,2025-11-10,West,Apparel,Jeans,store,14,48.12,673.68
223,2025-02-07,West,Apparel,Jacket,online,6,88.55,531.3
224,2025-03-07,Northeast,Home,Blender,store,1,59.02,59.02
225,2025-03-05,South,Home,Blender,store,4,61.56,246.24
226,2025-06-27,Northeast,Apparel,T-Shirt,store,5,17.45,87.25
227,2025-03-06,Northeast,Electronics,Phone Case,online,3,24.22,72.66
228,2025-03-29,Northeast,Apparel,Jacket,online,1,91.89,91.89
229,2025-02-11,West,Apparel,Jacket,online,7,91.38,639.66
230,2025-11-13,Midwest,Apparel,Jacket,store,7,88.85,621.95
231,2025-06-02,West,Home,Lamp,store,4,34.94,139.76
232,2025-06-24,South,Apparel,Jacket,store,3,93.23,279.69
233,2025-07-09,West,Apparel,T-Shirt,store,8,17.32,138.56
234,2025-05-07,West,Electronics,Headphones,store,0,81.88,0.0
235,2025-03-23,Northeast,Apparel,T-Shirt,online,8,18.0,144.0
236,2025-09-13,Midwest,Electronics,Laptop,store,4,899.49,3597.96
237,2025-04-21,West,Electronics,Headphones,store,4,79.77,319.08
238,2025-05-27,West,Grocery,Coffee Beans,store,7,14.32,100.24
239,2025-07-07,West,Electronics,Phone Case,online,5,23.67,118.35
240,2025-02-07,Midwest,Apparel,Jacket,online,2,85.7,171.4
241,2025-07-21,South,Apparel,T-Shirt,online,7,18.18,127.26
242,2025-09-14,West,Electronics,Laptop,store,8,926.33,7410.64
243,2025-03-18,Northeast,Home,Lamp,store,5,33.82,169.1
244,2025-10-31,West,Grocery,Olive Oil,store,6,11.97,71.82
245,2025-06-19,Midwest,Apparel,Jacket,online,5,89.86,449.3
246,2025-12-02,Northeast,Home,Towel Set,online,3,28.23,84.69
247,2025-09-26,Northeast,Grocery,Coffee Beans,online,2,13.34,26.68
248,2025-04-08,West,Apparel,Jeans,online,4,47.58,190.32
249,2025-07-30,Northeast,Grocery,Olive Oil,online,4,12.25,49.0
250,2025-10-15,West,Grocery,Olive Oil,store,9,11.78,106.02
251,2025-09-30,South,Apparel,Jacket,store,4,86.26,345.04
252,2025-05-23,East,Apparel,Jeans,online,8,48.91,391.28
253,2025-06-12,Northeast,Apparel,Jeans,online,7,48.35,338.45
254,2025-07-22,East,Apparel,T-Shirt,store,2,18.82,37.64
255,2025-06-27,South,Grocery,Coffee Beans,online,5,14.46,72.3
256,2025-10-15,East,Electronics,Phone Case,online,4,23.38,93.52
257,2025-11-23,West,Electronics,Headphones,store,4,80.72,322.88
258,2025-01-03,East,Grocery,Olive Oil,store,4,11.97,47.88
259,2025-05-28,West,Electronics,Phone Case,online,1,24.08,24.08
260,2025-03-31,East,Electronics,Headphones,store,3,76.52,229.56
261,2025-01-20,West,Electronics,Headphones,store,5,78.64,393.2
262,2025-09-10,East,Grocery,Pasta,online,6,3.61,21.66
263,2025-03-25,South,Home,Blender,store,4,60.72,242.88
264,2025-03-31,Midwest,Grocery,Olive Oil,store,2,11.5,23.0
265,2025-04-05,Midwest,Apparel,T-Shirt,online,4,17.57,70.28
266,2025-08-17,South,Apparel,Jacket,online,6,86.88,521.28
267,2025-12-21,West,Electronics,Headphones,store,11,76.31,839.41
268,2025-03-02,South,Apparel,Jacket,online,3,86.5,259.5
269,2025-09-02,West,Apparel,Jeans,store,4,49.24,196.96
270,2025-05-07,Northeast,Electronics,Phone Case,store,6,24.07,144.42
271,2025-02-09,West,Electronics,Phone Case,online,3,24.17,72.51
272,2025-03-26,Northeast,Grocery,Coffee Beans,online,8,14.3,114.4
273,2025-02-16,Midwest,Electronics,Headphones,online,0,79.1,0.0
274,2025-01-30,South,Electronics,Headphones,store,5,81.5,407.5
275,2025-02-07,West,Apparel,Jacket,online,1,89.37,89.37
276,2025-02-05,Midwest,Electronics,Headphones,store,0,76.47,0.0
277,2025-11-25,Midwest,Apparel,Jeans,store,7,49.77,348.39
278,2025-07-12,West,Home,Towel Set,store,7,26.93,188.51
279,2025-09-28,West,Home,Blender,online,8,61.82,494.56
280,2025-12-11,Midwest,Grocery,Coffee Beans,online,3,13.94,41.82
281,2025-05-22,West,Electronics,Phone Case,store,1,24.28,24.28
282,2025-05-04,West,Electronics,Headphones,online,0,76.98,0.0
283,2025-08-13,East,Electronics,Laptop,store,6,875.1,5250.6
284,2025-10-23,South,Home,Lamp,online,4,36.7,146.8
285,2025-07-31,West,Home,Towel Set,store,1,28.16,28.16
286,2025-06-26,Midwest,Apparel,Jacket,store,5,88.18,440.9
287,2025-07-12,Northeast,Grocery,Coffee Beans,online,3,13.72,41.16
288,2025-08-26,Northeast,Grocery,Pasta,online,5,3.46,17.3
289,2025-04-15,West,Grocery,Pasta,online,4,3.51,14.04
290,2025-01-27,Northeast,Electronics,Laptop,online,4,926.39,3705.56
291,2025-09-03,South,Apparel,T-Shirt,online,2,18.79,37.58
292,2025-09-03,Northeast,Home,Lamp,online,5,35.18,175.9
293,2025-07-14,South,Apparel,Jeans,store,8,48.06,384.48
294,2025-08-27,West,Grocery,Pasta,online,7,3.45,24.15
295,2025-01-24,East,Home,Blender,store,7,59.31,415.17
296,2025-06-01,West,Apparel,T-Shirt,store,4,18.13,72.52
297,2025-09-13,South,Apparel,Jeans,store,6,47.81,286.86
298,2025-03-28,West,Grocery,Coffee Beans,online,2,14.03,28.06
299,2025-12-09,West,Electronics,Headphones,online,8,81.71,653.68
300,2025-03-19,West,Grocery,Pasta,online,8,3.54,28.32
301,2025-12-04,West,Grocery,Coffee Beans,online,12,14.04,168.48
302,2025-05-27,West,Grocery,Coffee Beans,online,3,14.59,43.77
303,2025-05-04,Northeast,Apparel,Jeans,store,2,49.42,98.84
304,2025-07-11,Midwest,Home,Towel Set,online,2,27.44,54.88
305,2025-12-01,West,Electronics,Headphones,store,8,78.03,624.24
306,2025-01-05,West,Grocery,Pasta,store,2,3.52,7.04
307,2025-09-28,East,Home,Towel Set,store,2,27.36,54.72
308,2025-12-17,Northeast,Electronics,Laptop,store,4,855.46,3421.84
309,2025-10-28,West,Grocery,Coffee Beans,store,11,13.53,148.83
310,2025-07-19,Northeast,Apparel,Jeans,online,2,49.39,98.78
311,2025-09-14,South,Electronics,Laptop,store,2,874.92,1749.84
312,2025-06-24,Northeast,Grocery,Pasta,online,8,3.55,28.4
313,2025-09-09,Northeast,Grocery,Pasta,online,7,3.56,24.92
314,2025-02-13,South,Home,Towel Set,online,3,26.83,80.49
315,2025-07-14,East,Grocery,Pasta,store,1,3.36,3.36
316,2025-06-07,South,Electronics,Laptop,online,8,870.9,6967.2
317,2025-10-13,Midwest,Electronics,Laptop,online,2,885.87,1771.74
318,2025-11-02,South,Grocery,Coffee Beans,store,2,13.88,27.76
319,2025-10-14,East,Home,Towel Set,store,5,27.07,135.35
320,2025-06-04,East,Electronics,Laptop,store,5,878.86,4394.3
321,2025-09-05,South,Apparel,T-Shirt,store,4,18.17,72.68
322,2025-08-23,West,Apparel,T-Shirt,store,7,17.7,123.9
323,2025-06-18,Midwest,Home,Lamp,store,4,35.36,141.44
324,2025-09-03,Midwest,Apparel,Jeans,store,4,50.25,201.0
325,2025-06-16,Midwest,Apparel,T-Shirt,online,3,18.17,54.51
326,2025-12-16,West,Grocery,Olive Oil,online,13,11.93,155.09
327,2025-02-05,Midwest,Grocery,Coffee Beans,store,3,13.64,40.92
328,2025-08-05,West,Grocery,Olive Oil,store,7,12.1,84.7
329,2025-10-06,West,Apparel,Jacket,online,12,85.52,1026.24
330,2025-12-07,West,Electronics,Phone Case,store,12,25.12,301.44
331,2025-02-24,West,Apparel,T-Shirt,online,7,17.9,125.3
332,2025-08-26,Northeast,Home,Lamp,online,5,34.94,174.7
333,2025-08-01,West,Electronics,Phone Case,online,6,23.64,141.84
334,2025-08-22,Northeast,Grocery,Pasta,store,8,3.36,26.88
335,2025-06-13,West,Electronics,Phone Case,online,6,22.85,137.1
336,2025-11-28,West,Home,Towel Set,online,8,28.04,224.32
337,2025-10-14,West,Grocery,Coffee Beans,store,11,14.18,155.98
338,2025-12-03,West,Electronics,Phone Case,online,13,23.88,310.44
339,2025-01-03,East,Apparel,Jacket,online,3,89.69,269.07
340,2025-07-07,Midwest,Electronics,Headphones,store,5,79.22,396.1
341,2025-07-18,Northeast,Electronics,Headphones,store,3,81.73,245.19
342,2025-11-11,East,Apparel,T-Shirt,online,3,17.65,52.95
343,2025-07-11,Northeast,Grocery,Pasta,online,7,3.53,24.71
344,2025-04-06,Northeast,Home,Towel Set,online,3,27.97,83.91
345,2025-04-06,Midwest,Electronics,Headphones,online,0,78.88,0.0
346,2025-07-16,Northeast,Grocery,Pasta,store,8,3.47,27.76
347,2025-09-08,West,Electronics,Laptop,store,4,856.99,3427.96
348,2025-10-03,West,Grocery,Olive Oil,store,9,12.06,108.54
349,2025-02-28,Northeast,Apparel,Jacket,online,8,91.31,730.48
350,2025-10-07,West,Grocery,Coffee Beans,online,7,13.72,96.04
351,2025-05-15,West,Grocery,Coffee Beans,online,6,13.59,81.54
352,2025-12-30,Midwest,Home,Towel Set,online,4,28.8,115.2
353,2025-01-31,Northeast,Apparel,Jacket,online,5,87.43,437.15
354,2025-05-29,Northeast,Electronics,Laptop,store,5,936.65,4683.25
355,2025-12-02,West,Home,Blender,online,12,60.25,723.0
356,2025-07-21,Northeast,Apparel,Jacket,store,2,87.89,175.78
357,2025-11-21,West,Grocery,Olive Oil,store,12,12.23,146.76
358,2025-09-07,West,Electronics,Phone Case,store,6,24.32,145.92
359,2025-02-02,Midwest,Home,Lamp,online,6,34.98,209.88
360,2025-05-26,Northeast,Home,Towel Set,store,1,28.81,28.81
361,2025-01-24,West,Grocery,Coffee Beans,online,3,14.6,43.8
362,2025-08-14,Midwest,Home,Towel Set,online,5,29.07,145.35
363,2025-03-23,South,Electronics,Phone Case,store,6,23.4,140.4
364,2025-12-07,East,Electronics,Headphones,store,4,80.79,323.16
365,2025-12-02,West,Electronics,Laptop,online,10,896.91,8969.1
366,2025-04-26,Midwest,Electronics,Laptop,store,7,927.51,6492.57
367,2025-12-22,West,Electronics,Laptop,store,5,862.08,4310.4
368,2025-06-10,South,Home,Lamp,online,3,35.5,106.5
369,2025-02-05,West,Home,Lamp,store,3,35.78,107.34
370,2025-07-30,Midwest,Home,Blender,online,2,56.88,113.76
371,2025-10-29,South,Grocery,Pasta,online,2,3.41,6.82
372,2025-05-08,Northeast,Apparel,Jacket,online,5,92.1,460.5
373,2025-04-16,Northeast,Home,Towel Set,store,1,27.43,27.43
374,2025-05-03,West,Home,Lamp,online,1,35.1,35.1
375,2025-07-04,East,Grocery,Olive Oil,store,3,11.84,35.52
376,2025-08-30,West,Electronics,Phone Case,online,4,22.83,91.32
377,2025-01-21,Midwest,Apparel,Jacket,store,7,88.32,618.24
378,2025-02-12,Northeast,Home,Lamp,online,4,34.33,137.32
379,2025-03-21,Midwest,Electronics,Headphones,store,1,80.82,80.82
380,2025-05-06,West,Grocery,Coffee Beans,store,1,14.16,14.16
381,2025-06-08,East,Electronics,Laptop,online,3,917.11,2751.33
382,2025-09-12,Northeast,Apparel,T-Shirt,store,5,17.33,86.65
383,2025-03-02,West,Apparel,Jeans,store,5,48.11,240.55
384,2025-12-31,West,Grocery,Pasta,store,8,3.34,26.72
385,2025-03-22,West,Electronics,Laptop,online,1,858.01,858.01
386,2025-05-06,West,Apparel,Jeans,online,1,46.46,46.46
387,2025-10-11,Midwest,Home,Lamp,online,6,34.71,208.26
388,2025-05-19,Northeast,Apparel,T-Shirt,online,1,17.42,17.42
389,2025-07-25,West,Grocery,Pasta,store,8,3.44,27.52
390,2025-01-05,South,Apparel,Jacket,online,8,88.68,709.44
391,2025-04-11,Northeast,Home,Blender,online,1,61.55,61.55
392,2025-04-30,West,Apparel,T-Shirt,store,5,18.63,93.15
393,2025-02-23,East,Grocery,Pasta,online,3,3.67,11.01
394,2025-12-31,West,Electronics,Laptop,store,12,917.06,11004.72
395,2025-02-13,Northeast,Home,Towel Set,store,1,26.81,26.81
396,2025-08-11,East,Home,Lamp,store,7,36.23,253.61
397,2025-12-25,South,Apparel,Jeans,store,4,46.72,186.88
398,2025-03-11,Northeast,Electronics,Laptop,online,8,868.83,6950.64
399,2025-06-10,Northeast,Apparel,T-Shirt,store,5,17.65,88.25
400,2025-03-03,West,Apparel,Jacket,online,6,86.46,518.76
401,2025-03-17,West,Home,Lamp,store,5,35.05,175.25
402,2025-05-14,East,Electronics,Headphones,store,1,79.44,79.44
403,2025-08-25,West,Home,Blender,online,4,56.41,225.64
404,2025-03-08,Midwest,Apparel,Jacket,online,5,89.73,448.65
